"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"2263",569815.0584,2850224.24483,43761,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",660.37109,112.40755,569815.0584,2850224.24483
"2321",574229.76369,2851371.13951,45278,113,"Office Building.",26590.27734,832.10319,574229.76369,2851371.13951
"2363",575738.10475,2847975.97781,44084,113,"Office Building.",1451.61523,207.68155,575738.10475,2847975.97781
"2369",577679.6323,2848075.96157,44169,113,"Office Building.",4598.71484,389.94542,577679.6323,2848075.96157
"2418",575044.5575,2851266.28085,44907,113,"Office Building.",905.39062,130.75022,575044.5575,2851266.28085
"2425",574836.58303,2847963.00888,47042,113,"Office Building.",704,116.69768,574836.58303,2847963.00888
"2427",574767.68083,2850352.81125,47066,113,"Office Building.",2395.14453,193.02908,574767.68083,2850352.81125
"2464",573832.67699,2850653.74361,47936,113,"Office Building.",5315.05469,365.52059,573832.67699,2850653.74361
"2473",568688.26283,2850112.15472,48116,113,"Office Building.",5718.92969,314.7738,568688.26283,2850112.15472
"2492",577861.17711,2851308.24322,48493,113,"Office Building.",1591.18555,162.73581,577861.17711,2851308.24322
"2521",573844.13891,2851375.23669,49032,113,"Office Building.",810.68359,117.43084,573844.13891,2851375.23669
"2529",572976.65363,2850347.89669,49131,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",1153.42383,133.75217,572976.65363,2850347.89669
"2534",576299.38482,2849147.05013,49192,113,"Office Building.",1588.02734,172.68001,576299.38482,2849147.05013
"2560",575584.37027,2851284.95651,49530,113,"Office Building.",1973.12305,273.26224,575584.37027,2851284.95651
"2562",576306.84476,2850983.53453,49553,450,"Governmental/Public Administration (Other than Military or Penal).",13219.5332,508.69819,576306.84476,2850983.53453
"2606",577120.88398,2847156.83453,50593,113,"Office Building.",7742.28125,512.67786,577120.88398,2847156.83453
"2618",575605.27408,2848078.58319,50746,113,"Office Building.",6907.79883,338.5525,575605.27408,2848078.58319
"2696",577661.82964,2851300.51899,54492,113,"Office Building.",3303.05859,232.81041,577661.82964,2851300.51899
"2729",576295.31197,2850770.48794,51043,113,"Office Building.",711.92969,117.92785,576295.31197,2850770.48794
"2738",576251.85767,2847993.23851,51214,113,"Office Building.",18976.52344,656.81375,576251.85767,2847993.23851
"2754",577480.13095,2850448.94849,51479,113,"Office Building.",1318.7832,148.1678,577480.13095,2850448.94849
"2767",576295.73886,2849214.62988,51697,113,"Office Building.",1469.62695,158.0033,576295.73886,2849214.62988
"2794",576322.01301,2851258.42652,52116,113,"Office Building.",898.25195,121.61158,576322.01301,2851258.42652
"2795",577642.08596,2849716.74458,52126,113,"Office Building.",1978.50391,179.9452,577642.08596,2849716.74458
"2810",577522.46606,2850431.66232,52360,113,"Office Building.",624.86719,105.16566,577522.46606,2850431.66232
"2830",576018.38806,2849717.00619,52720,113,"Office Building.",1805.67969,167.5529,576018.38806,2849717.00619
"2851",575240.4715,2851272.84731,52993,113,"Office Building.",2373.45312,191.32019,575240.4715,2851272.84731
"2853",573843.59266,2851413.25316,55027,170,"Office and/or Business and other services (ground level) / Residential (upper levels). Low-density < 15 dwellings per acre or 4 floors.",1086.68164,132.11307,573843.59266,2851413.25316
"2876",573846.55389,2851234.79423,55491,450,"Governmental/Public Administration (Other than Military or Penal).",3547.60352,256.18827,573846.55389,2851234.79423
"2885",576893.17062,2848045.89268,55578,113,"Office Building.",1388.54492,150.35342,576893.17062,2848045.89268
"2897",571393.86385,2850129.42624,55788,113,"Office Building.",1230.69727,140.3919,571393.86385,2850129.42624
"2911",577140.68459,2850156.00659,56149,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",3550.83203,239.12083,577140.68459,2850156.00659
"2922",577165.69223,2848026.93685,56394,113,"Office Building.",672.55273,107.57526,577165.69223,2848026.93685
"2942",573999.78871,2850450.63895,56780,113,"Office Building.",2204.15039,195.08565,573999.78871,2850450.63895
"2957",577935.19243,2850459.30861,56988,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",1053.04688,140.0575,577935.19243,2850459.30861
"2964",576424.82233,2850530.02965,57074,450,"Governmental/Public Administration (Other than Military or Penal).",5022.39648,296.14764,576424.82233,2850530.02965
"2977",576923.91869,2850546.03497,57256,450,"Governmental/Public Administration (Other than Military or Penal).",2985.00195,223.90542,576923.91869,2850546.03497
"2992",577317.25502,2848060.96345,57508,113,"Office Building.",5886.74805,390.70426,577317.25502,2848060.96345
"2993",576388.40872,2848425.25173,57511,113,"Office Building.",2456.875,211.62478,576388.40872,2848425.25173
"3013",575970.60015,2847443.33645,57922,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",766.30859,125.92049,575970.60015,2847443.33645
"3022",570268.54531,2850968.31313,58040,450,"Governmental/Public Administration (Other than Military or Penal).",25761.59766,662.60523,570268.54531,2850968.31313
"3025",577340.92621,2850428.37673,58061,113,"Office Building.",468.13672,88.69301,577340.92621,2850428.37673
"3041",575120.86635,2851190.58438,58512,113,"Office Building.",1425.54102,195.21541,575120.86635,2851190.58438
"3043",577000.44491,2850344.20941,58550,113,"Office Building.",638.25391,109.52315,577000.44491,2850344.20941
"3110",573483.50825,2851149.65904,60869,113,"Office Building.",553.01953,102.6333,573483.50825,2851149.65904
"3120",577087.566,2851430.62113,60971,320,"Industrial Intensive, heavy-light manufacturing, and warehousing-storage type of use",843.87891,117.77732,577087.566,2851430.62113
"3121",574170.94515,2850386.70896,60979,113,"Office Building.",3469.29297,258.25452,574170.94515,2850386.70896
